author,work,total tokens,percent of tokens found,unique tokens not in wordlist
Austen,Sense,144346,60.17970709268009,1008
BronteA,AGrey,85403,56.46288772057188,1232
Trollope,Phineas,320725,56.3217709876062,1928
Trollope,Forgive,388860,55.61590289564368,2023
Ainsworth,JackSheppard,203263,53.80024893856727,3528
Collins,Woman,296746,58.7654088007926,1980
Dickens,42_AN,124357,60.451763873364584,2136
Collins,AfterDark,166424,58.154472912560685,1758
Ainsworth,TheLancashireWitches,294464,55.89477830906324,4290
LeQueux,TheCzarsSpy,114037,55.90904706367231,1661
BronteE,Wuthering,147835,54.90648357966652,1647
Austen,Northanger,92873,60.762546703562926,988
Defoe,Journal,109928,63.785386798631826,1414
Dickens,41_BR,326051,55.75661476272117,2459
Bennett,KateClarendon,85454,59.114845413906906,2111
BronteC,Villette,245051,55.57659425997037,3176
Gaskell,MBarton,204509,56.231755081683445,2103
Dickens,37b_OT,208813,53.54551680211481,2220
Austen,Mansfield,190969,61.05807748901654,1230
Dickens,46a_PFI,89950,59.83324068927182,1863
Dickens,38_NN,420634,53.77929506411749,3349
GEliot,ABede,262837,59.269433146779186,2467
Prest,TheDemonOfTheHartz,4696,64.16098807495742,294
Dickens,51_CHE,195633,61.564255519263114,2478
Defoe,Military,93843,52.65603188303869,4144
Dickens,33_SB,241575,57.390044499637796,2842
Defoe,Moll,162650,56.23117122656009,1043
Sterne,Sentimental,50012,54.218987443013674,1478
GEliot,Middlemarch,390551,58.71960384175178,2945
GEliot,Deronda,371112,60.141682295371744,2850
Ainsworth,OvingdeanGrange,129551,57.43452385547004,3066
Dickens,55_LD,431983,53.49608665155805,3170
Austen,Persuasion,99454,60.225833048444514,1003
Ainsworth,TheStarChamber,162121,59.9206765317263,3163
Smollett,FCFathom,184303,63.21763617521148,2026
Austen,Emma,196467,58.22606341014013,1218
Dickens,37a_OEP,81966,59.904106580777395,1646
Fielding,TomJones,415916,58.62145240865944,2938
Smollett,HClinker,179702,59.1690687916662,3169
Swift,Tub,51426,63.65262707579823,1367
Dickens,60b_GE,232004,53.8551059464492,2353
Bennett,TheBanditsofOsage,125850,58.93921334922527,2751
Thackeray,Vanity,374546,59.76008287366572,4123
Dickens,40a_MHC,57496,57.617921246695424,1336
Richardson,Clarissa,1158914,54.96602854051292,5378
Smollett,RRandom,228172,58.256490717528884,2752
Dickens,36_PP,400597,51.826149471913176,3749
Dickens,64_OMF,422267,53.02024548449204,3760
Goldsmith,Vicar,75603,57.55062629789823,1222
Fielding,JWild,81208,60.18249433553344,1684
Ainsworth,Boscobel,193366,55.80091639688466,2740
Dickens,54_HT,135234,51.91076208645755,2139
BronteC,Professor,108446,57.81587149364661,2011
Ainsworth,Rookwood,186034,56.52568885257534,5319
Chesney,TheBattleOfDorking,24720,64.85436893203882,774
BronteC,JEyre,234240,55.59596994535519,2405
LeQueux,TheInvasion,115294,63.259146182802226,2549
Dickens,49_DC,459611,52.333821427250435,2941
Defoe,Crusoe,271659,59.84487905793661,1562
Collins,Moonstone,238867,57.000757743849086,1873
Prest,VarneyTheVampire,422890,53.97337369055782,3264
Ainsworth,Auriol,62276,52.842186396043424,1803
Smollett,TravelsFI,142377,61.076578379934965,3948
GEliot,Silas,89295,58.77596729940087,1262
Sterne,Tristram,231333,54.84345078307029,4601
Dickens,46b_DS,433302,55.069443482836455,3279
Trollope,Warden,87343,57.771086406466466,1226
Smollett,LGreaves,106819,60.2860914256827,2003
Smollett,PPickle,398649,62.39549077007594,3149
Dickens,43_MC,440261,52.84070131126764,3545
Dickens,56_RP,115583,56.382859070970646,2437
Geliot,Brother,20195,59.77222084674424,636
Austen,Pride,148068,59.42134694869925,1046
Thackeray,BLyndon,150569,58.830835032443595,2222
Trollope,EDiamonds,331379,57.89111561082627,1956
Swift,Stella,237648,52.28026324648219,2258
Ainsworth,GuyFawkes,192646,59.645152248165026,3411
Defoe,Singleton,129882,61.388799063765575,1158
Gaskell,Sylvia,236817,57.95065388042243,2314
Dickens,52_BH,452515,52.46500116018253,3275
Trollope,Barchester,237043,58.900705779120244,1987
Richardson,Pamela,544576,53.465264719708536,2521
Ainsworth,PrestonFight,110268,59.75985780099394,2308
Dickens,40b_OCS,276083,56.31024003651076,2337
Ainsworth,TheMisersDaughter,159873,51.07991968625096,9818
GEliot,Mill,257809,58.69965749838059,2256
Ainsworth,OldSaintPauls,246623,56.37511505415148,2769
LeQueux,SpiesOfTheKaiser,102201,57.073805540063205,2000
Dickens,70_MED,123574,51.86123294544159,1989
Trollope,DrThorne,269939,54.95686062406692,1850
Fielding,JAndrews,150820,58.98421959952261,1738
Swift,Gulliver,123524,60.230400569929735,1442
Fielding,Journey,52054,59.89741422369078,1036
Ainsworth,WindsorCastle,135411,53.768157682906114,8383
Dickens,60a_UT,175597,58.525487337482986,3132
Fielding,Amelia,256647,58.064189333987926,1736
Ellis,TheLostTrail,77524,62.165264950208964,1599
LeQueux,TheGreatWarInEnglandIn1897,113703,64.76434218973993,2800
Rymer,AdaTheBetrayed,291364,51.62271248335415,16141
Dickens,59_TTC,175232,54.0192430606282,2035
Gaskell,Cranford,86744,59.0830489716868,1245
Ainsworth,TheLeaguerOfLathom,124739,59.16754182733548,2409
